file_path,exists,category,description
README.md,True,核心交付,项目审计后建议长期保留
requirements.txt,True,核心交付,项目审计后建议长期保留
Makefile,True,核心交付,项目审计后建议长期保留
run_all.ps1,True,核心交付,项目审计后建议长期保留
configs/datasets.yaml,True,核心交付,项目审计后建议长期保留
configs/pipeline.yaml,True,核心交付,项目审计后建议长期保留
datasets/manifests/dataset_inventory.csv,True,核心交付,项目审计后建议长期保留
outputs/metrics/best_metrics.json,True,核心交付,项目审计后建议长期保留
outputs/reports/PROJECT_MASTER_REPORT.md,True,核心交付,项目审计后建议长期保留
outputs/reports/PROJECT_EXECUTIVE_SUMMARY.md,True,核心交付,项目审计后建议长期保留
outputs/reports/PROJECT_FOR_DEFENSE.md,True,核心交付,项目审计后建议长期保留
outputs/reports/PROJECT_ALGORITHM_APPENDIX.md,True,核心交付,项目审计后建议长期保留
outputs/tables/master_best_results_table.csv,True,核心交付,项目审计后建议长期保留
outputs/tables/dataset_overview_master.csv,True,核心交付,项目审计后建议长期保留
outputs/tables/project_task_algorithm_map.csv,True,核心交付,项目审计后建议长期保留
outputs/tables/figure_table_index.csv,True,核心交付,项目审计后建议长期保留
outputs/reports/task8_task3_special_report.md,True,专项证据,关键专项证据材料
outputs/reports/task8_A5_re_evaluation.md,True,专项证据,关键专项证据材料
outputs/reports/task3_B6_final_summary.md,True,专项证据,关键专项证据材料
outputs/reports/kotlin_python_numeric_parity.md,True,专项证据,关键专项证据材料
